Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Cantabria;2419;217.0;2020-07-24;581078;8.970649028524184;0.4162952305886645;0.03734438405859454
Castilla-La Mancha;18539;3032.0;2020-07-24;2032863;16.354711688872108;0.9119650463410471;0.14914925403236715
Valencia;12442;1433.0;2020-07-24;5003769;11.517440925896159;0.24865256569597838;0.028638412364759443
Extremadura;3302;519.0;2020-07-25;1067710;15.717746820109024;0.3092600050575531;0.04860870461080256
Total;272421;28432.0;2020-07-25;48525383;10.436787178668311;0.561398969277584;0.058592015646738944
Pais Vasco;15086;1566.0;2020-07-25;2207776;10.38048521808299;0.6833120751380575;0.0709311089530822
Navarra;6244;529.0;2020-07-25;2153389;8.472133247918002;0.2899615443377857;0.02456592840401804
Murcia;1988;148.0;2020-07-25;1493898;7.44466800804829;0.1330746811361954;0.009906968213358609
Melilla;129;2.0;2020-07-25;86487;1.550387596899225;0.14915536439002394;0.0023124862696127743
Madrid;73944;8450.0;2020-07-25;6663394;11.427566807313642;1.10970475406377;0.12681225213457287
La Rioja;4169;366.0;2020-07-25;316798;8.779083713120652;1.3159805301801148;0.11553103239288127
Galicia;9584;619.0;2020-07-25;2699499;6.458681135225375;0.35502884053670697;0.022930180748353676
Ceuta;164;4.0;2020-07-25;84777;2.4390243902439024;0.19344869481109264;0.00471826084905104
Asturias;2454;334.0;2020-07-25;1022800;13.610431947840262;0.23992960500586624;0.032655455612045366
Castilla-Leon;20017;2796.0;2020-07-25;2399548;13.968127091971825;0.8341987741024559;0.11652194496630199
Cataluña;72919;5680.0;2020-07-25;7675217;7.789465022833555;0.950057828983858;0.07400442228538946
Aragon;9772;915.0;2020-07-25;1319291;9.363487515349979;0.7407008764556113;0.06935543409300905
Baleares;2343;224.0;2020-07-25;1149460;9.560392658984208;0.20383484418770553;0.0194874114801733
Andalucia;14328;1436.0;2020-07-25;8414240;10.022333891680626;0.17028275875183024;0.017066306642073436
Canarias;2578;162.0;2020-07-25;2153389;6.283941039565555;0.11971826734510115;0.007523025333555619
Cantabria;2419;217.0;2020-07-25;581078;8.970649028524184;0.4162952305886645;0.03734438405859454
Castilla-La Mancha;18539;3032.0;2020-07-25;2032863;16.354711688872108;0.9119650463410471;0.14914925403236715
Valencia;12442;1433.0;2020-07-25;5003769;11.517440925896159;0.24865256569597838;0.028638412364759443
Extremadura;3302;519.0;2020-07-26;1067710;15.717746820109024;0.3092600050575531;0.04860870461080256
Pais Vasco;15086;1566.0;2020-07-26;2207776;10.38048521808299;0.6833120751380575;0.0709311089530822
Navarra;6244;529.0;2020-07-26;2153389;8.472133247918002;0.2899615443377857;0.02456592840401804
Murcia;1988;148.0;2020-07-26;1493898;7.44466800804829;0.1330746811361954;0.009906968213358609
Melilla;129;2.0;2020-07-26;86487;1.550387596899225;0.14915536439002394;0.0023124862696127743
Madrid;73944;8450.0;2020-07-26;6663394;11.427566807313642;1.10970475406377;0.12681225213457287
La Rioja;4169;366.0;2020-07-26;316798;8.779083713120652;1.3159805301801148;0.11553103239288127
Galicia;9584;619.0;2020-07-26;2699499;6.458681135225375;0.35502884053670697;0.022930180748353676
Ceuta;164;4.0;2020-07-26;84777;2.4390243902439024;0.19344869481109264;0.00471826084905104
Total;272421;28432.0;2020-07-26;48525383;10.436787178668311;0.561398969277584;0.058592015646738944
Castilla-Leon;20017;2796.0;2020-07-26;2399548;13.968127091971825;0.8341987741024559;0.11652194496630199
Andalucia;14328;1436.0;2020-07-26;8414240;10.022333891680626;0.17028275875183024;0.017066306642073436
Aragon;9772;915.0;2020-07-26;1319291;9.363487515349979;0.7407008764556113;0.06935543409300905
Asturias;2454;334.0;2020-07-26;1022800;13.610431947840262;0.23992960500586624;0.032655455612045366
Baleares;2343;224.0;2020-07-26;1149460;9.560392658984208;0.20383484418770553;0.0194874114801733
Cataluña;72919;5680.0;2020-07-26;7675217;7.789465022833555;0.950057828983858;0.07400442228538946
Canarias;2578;162.0;2020-07-26;2153389;6.283941039565555;0.11971826734510115;0.007523025333555619
