Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
La Rioja;4111;366.0;2020-07-19;319914;8.902943322792508;1.2850328525791306;0.1144057465443838
Galicia;9494;619.0;2020-07-19;2701819;6.519907309879924;0.35139289493485687;0.022910491043256414
Extremadura;3243;519.0;2020-07-19;1063987;16.003700277520814;0.30479695710567895;0.048778791470196536
Castilla-Leon;19870;2793.0;2020-07-19;2394918;14.056366381479618;0.8296735003035595;0.11662194697271472
Cataluña;67217;5678.0;2020-07-19;7780479;8.447267804275704;0.8639185325222265;0.07297751205292116
Ceuta;164;4.0;2020-07-19;84202;2.4390243902439024;0.19476972043419397;0.004750480986199852
Aragon;7639;915.0;2020-07-19;1329391;11.978007592616835;0.5746240195698632;0.06882850869307826
Asturias;2442;334.0;2020-07-19;1018784;13.677313677313677;0.2396975217514213;0.032784181926689075
Baleares;2290;224.0;2020-07-19;1171543;9.781659388646288;0.19546871092226234;0.019120083513793348
Andalucia;13731;1435.0;2020-07-19;8464411;10.450804748379579;0.16222038367465852;0.016953335559910784
Canarias;2483;162.0;2020-07-19;2175952;6.524365686669352;0.11411097303616992;0.007445017169496386
Cantabria;2381;217.0;2020-07-19;582905;9.113817723645527;0.40847136325816386;0.03722733550063904
Castilla-La Mancha;18431;3034.0;2020-07-19;2045221;16.461396560143235;0.901174005156411;0.14834582668572246
Valencia;11933;1432.0;2020-07-19;5057353;12.000335204893991;0.23595347210289652;0.028315207579933614
Navarra;6244;529.0;2020-07-26;2175952;8.472133247918002;0.2869548592983669;0.02431119804113326
Andalucia;14328;1436.0;2020-07-26;8464411;10.022333891680626;0.16927344383442627;0.016965149731032674
Aragon;9772;915.0;2020-07-26;1329391;9.363487515349979;0.7350734283593013;0.06882850869307826
Asturias;2454;334.0;2020-07-26;1018784;13.610431947840262;0.2408753965511826;0.032784181926689075
Baleares;2343;224.0;2020-07-26;1171543;9.560392658984208;0.19999265925365095;0.019120083513793348
Valencia;12442;1433.0;2020-07-26;5057353;11.517440925896159;0.24601802563514946;0.028334980769584406
Canarias;2578;162.0;2020-07-26;2175952;6.283941039565555;0.11847687816643014;0.007445017169496386
Cantabria;2419;217.0;2020-07-26;582905;8.970649028524184;0.4149904358343126;0.03722733550063904
Castilla-La Mancha;18539;3032.0;2020-07-26;2045221;16.354711688872108;0.9064546080839185;0.1482480377426205
Castilla-Leon;20017;2796.0;2020-07-26;2394918;13.968127091971825;0.8358114975126497;0.11674721222187984
Cataluña;72919;5680.0;2020-07-26;7780479;7.789465022833555;0.937204508874068;0.07300321741116453
Ceuta;164;4.0;2020-07-26;84202;2.4390243902439024;0.19476972043419397;0.004750480986199852
Extremadura;3302;519.0;2020-07-26;1063987;15.717746820109024;0.31034213763889973;0.048778791470196536
Galicia;9584;619.0;2020-07-26;2701819;6.458681135225375;0.3547239841010815;0.022910491043256414
La Rioja;4169;366.0;2020-07-26;319914;8.779083713120652;1.303162724982339;0.1144057465443838
Melilla;129;2.0;2020-07-26;87076;1.550387596899225;0.14814644678212135;0.0022968441361569205
Madrid;73944;8450.0;2020-07-26;6779888;11.427566807313642;1.090637485456987;0.1246333272762028
Pais Vasco;15086;1566.0;2020-07-26;2220504;10.38048521808299;0.6793953084524955;0.07052452956626064
Total;272421;28432.0;2020-07-26;48965550;10.436787178668311;0.5563523742712989;0.05806531326616366
Murcia;1988;148.0;2020-07-26;1511251;7.44466800804829;0.13154664579212852;0.009793211054947192
Melilla;132;2.0;2020-08-02;87076;1.5151515151515151;0.15159171298635674;0.0022968441361569205
Madrid;76145;8453.0;2020-08-02;6779888;11.101188521899008;1.1231011485735458;0.1246775757947624
La Rioja;4200;366.0;2020-08-02;319914;8.714285714285714;1.312852829197847;0.1144057465443838
Galicia;9717;619.0;2020-08-02;2701819;6.370278892662344;0.3596465936467247;0.022910491043256414
Extremadura;3373;520.0;2020-08-02;1063987;15.416543136673585;0.3170151515009112;0.04887277758092909
Ceuta;166;4.0;2020-08-02;84202;2.4096385542168677;0.1971449609272939;0.004750480986199852
