Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Castilla-Leon;2146.0;6.0;2020-08-23;Castilla y León
Navarra;648.0;0.0;2020-08-23;Comunidad Foral de Navarra
Cataluña;6480.0;15.0;2020-08-23;Cataluña
Madrid;14415.0;56.0;2020-08-23;Comunidad de Madrid
Asturias;188.0;0.0;2020-08-23;Principado de Asturias
Extremadura;405.0;2.0;2020-08-23;Extremadura
Navarra;990.0;1.0;2020-08-30;Comunidad Foral de Navarra
Galicia;1703.0;8.0;2020-08-30;Galicia
Valencia;3592.0;13.0;2020-08-30;Comunitat Valenciana
Andalucia;4909.0;20.0;2020-08-30;Andalucía
Murcia;1388.0;4.0;2020-08-30;Región de Murcia
Castilla-Leon;2614.0;12.0;2020-08-30;Castilla y León
Ceuta;41.0;0.0;2020-08-30;Ceuta
Extremadura;504.0;2.0;2020-08-30;Extremadura
Aragon;1955.0;0.0;2020-08-30;Aragón
Cantabria;592.0;0.0;2020-08-30;Cantabria
Melilla;83.0;0.0;2020-08-30;Melilla
Cataluña;8349.0;17.0;2020-08-30;Cataluña
Pais Vasco;3415.0;12.0;2020-08-30;País Vasco
La Rioja;513.0;2.0;2020-08-30;La Rioja
Madrid;16218.0;67.0;2020-08-30;Comunidad de Madrid
Total;53232.0;173.0;2020-08-30;Total
Castilla-La Mancha;1974.0;4.0;2020-08-30;Castilla - La Mancha
Canarias;1838.0;5.0;2020-08-30;Canarias
Asturias;248.0;1.0;2020-08-30;Principado de Asturias
Baleares;2306.0;5.0;2020-08-30;Illes Balears
Navarra;1010.0;3.0;2020-09-06;Comunidad Foral de Navarra
Asturias;277.0;0.0;2020-09-06;Principado de Asturias
Andalucia;5953.0;36.0;2020-09-06;Andalucía
Galicia;1825.0;18.0;2020-09-06;Galicia
Canarias;2176.0;7.0;2020-09-06;Canarias
Total;59703.0;407.0;2020-09-06;Total
Extremadura;885.0;4.0;2020-09-06;Extremadura
Melilla;113.0;1.0;2020-09-06;Melilla
Pais Vasco;4672.0;1.0;2020-09-06;País Vasco
Cantabria;729.0;4.0;2020-09-06;Cantabria
Murcia;1562.0;1.0;2020-09-06;Región de Murcia
Aragon;1931.0;116.0;2020-09-06;Aragón
La Rioja;666.0;5.0;2020-09-06;La Rioja
Madrid;18301.0;124.0;2020-09-06;Comunidad de Madrid
Castilla-La Mancha;2709.0;6.0;2020-09-06;Castilla - La Mancha
Valencia;4015.0;16.0;2020-09-06;Comunitat Valenciana
Castilla-Leon;3101.0;34.0;2020-09-06;Castilla y León
Ceuta;59.0;1.0;2020-09-06;Ceuta
Cataluña;8176.0;20.0;2020-09-06;Cataluña
Baleares;1543.0;10.0;2020-09-06;Illes Balears
Canarias;1831.0;10.0;2020-09-13;Canarias
Castilla-La Mancha;3393.0;4.0;2020-09-13;Castilla - La Mancha
Cataluña;7333.0;19.0;2020-09-13;Cataluña
Cantabria;811.0;2.0;2020-09-13;Cantabria
Pais Vasco;4089.0;7.0;2020-09-13;País Vasco
Andalucia;6438.0;57.0;2020-09-13;Andalucía
Extremadura;1060.0;8.0;2020-09-13;Extremadura
Murcia;3203.0;12.0;2020-09-13;Región de Murcia
Ceuta;68.0;2.0;2020-09-13;Ceuta
Castilla-Leon;3556.0;27.0;2020-09-13;Castilla y León
Total;67337.0;329.0;2020-09-13;Total
Navarra;1685.0;6.0;2020-09-13;Comunidad Foral de Navarra
Asturias;330.0;3.0;2020-09-13;Principado de Asturias
Galicia;1699.0;22.0;2020-09-13;Galicia
Aragon;2172.0;0.0;2020-09-13;Aragón
Madrid;23320.0;90.0;2020-09-13;Comunidad de Madrid
Valencia;4156.0;37.0;2020-09-13;Comunitat Valenciana
La Rioja;491.0;8.0;2020-09-13;La Rioja
Melilla;164.0;0.0;2020-09-13;Melilla
Baleares;1538.0;15.0;2020-09-13;Illes Balears
Melilla;87.0;1.0;2020-09-20;Melilla
Murcia;3151.0;24.0;2020-09-20;Región de Murcia
Valencia;3504.0;26.0;2020-09-20;Comunitat Valenciana
Extremadura;1523.0;6.0;2020-09-20;Extremadura
La Rioja;805.0;11.0;2020-09-20;La Rioja
Castilla-La Mancha;5705.0;13.0;2020-09-20;Castilla - La Mancha
Baleares;1330.0;12.0;2020-09-20;Illes Balears
Pais Vasco;3335.0;162.0;2020-09-20;País Vasco
Navarra;1973.0;11.0;2020-09-20;Comunidad Foral de Navarra
Madrid;26824.0;181.0;2020-09-20;Comunidad de Madrid
Cataluña;6581.0;17.0;2020-09-20;Cataluña
Castilla-Leon;4785.0;48.0;2020-09-20;Castilla y León
Asturias;512.0;3.0;2020-09-20;Principado de Asturias
Canarias;1346.0;20.0;2020-09-20;Canarias
Cantabria;686.0;4.0;2020-09-20;Cantabria
Ceuta;65.0;2.0;2020-09-20;Ceuta
Aragon;2601.0;90.0;2020-09-20;Aragón
Andalucia;7487.0;89.0;2020-09-20;Andalucía
Total;73714.0;748.0;2020-09-20;Total
Galicia;1414.0;28.0;2020-09-20;Galicia
Ceuta;87.0;1.0;2020-09-27;Ceuta
Castilla-La Mancha;5119.0;46.0;2020-09-27;Castilla - La Mancha
La Rioja;768.0;16.0;2020-09-27;La Rioja
Total;76441.0;737.0;2020-09-27;Total
Baleares;1250.0;17.0;2020-09-27;Illes Balears
Cantabria;510.0;2.0;2020-09-27;Cantabria
Extremadura;1724.0;20.0;2020-09-27;Extremadura
Navarra;2367.0;10.0;2020-09-27;Comunidad Foral de Navarra
Aragon;2456.0;58.0;2020-09-27;Aragón
Madrid;26664.0;214.0;2020-09-27;Comunidad de Madrid
Cataluña;6568.0;32.0;2020-09-27;Cataluña
Castilla-Leon;5481.0;63.0;2020-09-27;Castilla y León
Asturias;624.0;2.0;2020-09-27;Principado de Asturias
Pais Vasco;3034.0;89.0;2020-09-27;País Vasco
Galicia;1827.0;24.0;2020-09-27;Galicia
Canarias;1283.0;11.0;2020-09-27;Canarias
Melilla;196.0;0.0;2020-09-27;Melilla
Andalucia;9003.0;82.0;2020-09-27;Andalucía
Valencia;3742.0;42.0;2020-09-27;Comunitat Valenciana
Murcia;3738.0;8.0;2020-09-27;Región de Murcia
Castilla-Leon;5285.0;82.0;2020-10-04;Castilla y León
Asturias;624.0;6.0;2020-10-04;Principado de Asturias
Cataluña;6995.0;22.0;2020-10-04;Cataluña
Total;73451.0;854.0;2020-10-04;Total
Baleares;872.0;13.0;2020-10-04;Illes Balears
Canarias;1118.0;16.0;2020-10-04;Canarias
Aragon;2349.0;51.0;2020-10-04;Aragón
Melilla;209.0;1.0;2020-10-04;Melilla
Navarra;2186.0;15.0;2020-10-04;Comunidad Foral de Navarra
Pais Vasco;2962.0;56.0;2020-10-04;País Vasco
Murcia;3043.0;17.0;2020-10-04;Región de Murcia
